epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,8218.13,0.81347,0.5206,1.16987,0.94901,0.93571,0.98198,0.75697,0.93225,0.40241,1.31657,2.00556e-05,2.00556e-05,2.00556e-05
40,10068.1,0.80284,0.50465,1.16035,0.95086,0.95339,0.98797,0.76344,0.92781,0.39665,1.31719,1.84518e-05,1.84518e-05,1.84518e-05
41,11577.2,0.8105,0.36575,1.21048,0.94717,0.93539,0.98759,0.76197,0.92747,0.40482,1.3028,1.6848e-05,1.6848e-05,1.6848e-05
42,13088.8,0.80187,0.35428,1.19887,0.95483,0.92783,0.98688,0.76248,0.92253,0.41528,1.29851,1.52442e-05,1.52442e-05,1.52442e-05
43,14705.4,0.79318,0.35024,1.19014,0.94894,0.93517,0.98646,0.75883,0.9201,0.40779,1.29195,1.36404e-05,1.36404e-05,1.36404e-05
44,16826.6,0.78201,0.3444,1.18618,0.9479,0.94165,0.98223,0.7583,0.92327,0.40029,1.30118,1.20366e-05,1.20366e-05,1.20366e-05
45,18387.1,0.77399,0.33822,1.17907,0.94674,0.93421,0.98517,0.76069,0.92291,0.40264,1.30457,1.04328e-05,1.04328e-05,1.04328e-05
46,19941.8,0.7668,0.33364,1.17191,0.95192,0.93822,0.98537,0.75864,0.91963,0.39177,1.30397,8.829e-06,8.829e-06,8.829e-06
47,21477.5,0.76331,0.33066,1.17173,0.94343,0.93938,0.98061,0.75576,0.91911,0.39232,1.30294,7.2252e-06,7.2252e-06,7.2252e-06
48,22987.9,0.76235,0.32674,1.16845,0.95098,0.9376,0.98184,0.75787,0.91577,0.39236,1.30281,5.6214e-06,5.6214e-06,5.6214e-06
49,24807.8,0.751,0.32138,1.16098,0.9503,0.93564,0.98618,0.76276,0.91493,0.39271,1.30209,4.0176e-06,4.0176e-06,4.0176e-06
50,26343.5,0.74686,0.32214,1.16259,0.9548,0.9357,0.98656,0.76279,0.91427,0.38908,1.30298,2.4138e-06,2.4138e-06,2.4138e-06
